연월,가스가격,전기가격,상대가격
2007-01-01,88.14,104.5,84.34
2007-02-01,88.14,104.5,84.34
2007-03-01,86.15,104.5,82.44
2007-04-01,86.15,104.5,82.44
2007-05-01,89.45,104.5,85.6
2007-06-01,89.45,104.5,85.6
2007-07-01,91.91,104.5,87.95
2007-08-01,91.91,104.5,87.95
2007-09-01,97.83,104.5,93.62
2007-10-01,97.83,104.5,93.62
2007-11-01,100.29,104.5,95.97
2007-12-01,100.36,104.5,96.04
2008-01-01,96.68,104.5,92.52
2008-02-01,96.68,104.5,92.52
2008-03-01,96.6,104.5,92.44
2008-04-01,98.67,104.5,94.42
2008-05-01,98.75,104.5,94.5
2008-06-01,98.83,104.5,94.57
2008-07-01,98.9,104.5,94.64
2008-08-01,98.9,104.5,94.64
2008-09-01,98.83,104.5,94.57
2008-10-01,98.9,104.5,94.64
2008-11-01,103.36,104.5,98.91
2008-12-01,101.21,104.5,96.85
2009-01-01,100.98,104.5,96.63
2009-02-01,100.98,104.5,96.63
2009-03-01,103.13,104.5,98.69
2009-04-01,103.13,104.5,98.69
2009-05-01,102.98,104.5,98.55
2009-06-01,103.05,104.5,98.61
2009-07-01,108.12,104.5,103.46
2009-08-01,108.2,104.5,103.54
2009-09-01,108.2,104.5,103.54
2009-10-01,108.28,104.5,103.62
2009-11-01,108.36,104.5,103.69
2009-12-01,108.43,104.5,103.76
2010-01-01,108.54,104.51,103.86
2010-02-01,108.54,104.51,103.86
2010-03-01,108.54,104.51,103.86
2010-04-01,108.54,104.51,103.86
2010-05-01,108.54,104.51,103.86
2010-06-01,108.54,104.51,103.86
2010-07-01,108.54,104.51,103.86
2010-08-01,108.43,106.62,101.7
2010-09-01,114.46,106.62,107.35
2010-10-01,114.46,106.62,107.35
2010-11-01,109.42,106.62,102.63
2010-12-01,109.42,106.62,102.63
2011-01-01,114.46,106.62,107.35
2011-02-01,114.46,106.62,107.35
2011-03-01,114.46,106.62,107.35
2011-04-01,114.46,106.62,107.35
2011-05-01,119.72,106.62,112.29
2011-06-01,119.72,106.62,112.29
2011-07-01,119.72,106.62,112.29
2011-08-01,119.72,108.72,110.12
2011-09-01,119.72,108.72,110.12
