날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2017-01-01",108,2.7,-1.6,6.9
"	2017-01-02",108,5,1.8,9.2
"	2017-01-03",108,2,-2.3,7.7
"	2017-01-04",108,3.9,1,8.9
"	2017-01-05",108,3.8,-0.1,7.3
"	2017-01-06",108,5.4,2.5,11.4
"	2017-01-07",108,4.6,0,10.5
"	2017-01-08",108,6.5,4,10.9
"	2017-01-09",108,1.5,-3.1,4.3
"	2017-01-10",108,-3.7,-7.4,1.1
"	2017-01-11",108,-3.8,-9.4,1.5
"	2017-01-12",108,-2.2,-6.1,1
"	2017-01-13",108,-6,-8.6,-1.4
"	2017-01-14",108,-8.4,-10.5,-5.4
"	2017-01-15",108,-6.6,-11.5,-0.9
"	2017-01-16",108,-3.8,-8.9,4
"	2017-01-17",108,-2,-7.1,3.4
"	2017-01-18",108,-0.5,-3,2.8
"	2017-01-19",108,-1.2,-4.9,4.7
"	2017-01-20",108,-4.4,-7.8,-1.4
"	2017-01-21",108,-5.2,-10,-0.9
"	2017-01-22",108,-8.3,-10.9,-3.3
"	2017-01-23",108,-8.9,-12.6,-4.1
"	2017-01-24",108,-7,-11.6,-1.3
"	2017-01-25",108,-5.2,-10.2,0.9
"	2017-01-26",108,-1.3,-7.9,3.4
"	2017-01-27",108,-2.6,-5.7,3.1
"	2017-01-28",108,-1.6,-8.2,4.3
"	2017-01-29",108,0.8,-0.9,2.5
"	2017-01-30",108,-4.8,-7.9,-0.9
"	2017-01-31",108,-5.4,-9.9,0.2
"	2017-02-01",108,-4,-7.5,0.7
"	2017-02-02",108,-2.7,-9.2,3.3
"	2017-02-03",108,1.5,-2.3,6.7
"	2017-02-04",108,0.9,-2.9,3.2
"	2017-02-05",108,1.2,-1.5,2.3
"	2017-02-06",108,-1.7,-4.4,2.6
"	2017-02-07",108,-2,-5.6,3
"	2017-02-08",108,-2.2,-4.9,0.6
"	2017-02-09",108,-5.3,-7.1,-2.1
"	2017-02-10",108,-6.6,-9.3,-2.5
"	2017-02-11",108,-4.8,-9.2,0.8
"	2017-02-12",108,-2.2,-7.4,4.2
"	2017-02-13",108,0.1,-5.4,6.1
"	2017-02-14",108,0.3,-4,6.5
"	2017-02-15",108,1.8,-3.9,8
"	2017-02-16",108,5.5,-1.9,10.3
"	2017-02-17",108,0.8,-5.2,9
"	2017-02-18",108,-2.6,-7,2.9
"	2017-02-19",108,2.3,-3.4,5.7
"	2017-02-20",108,-1.5,-5.2,5.4
"	2017-02-21",108,-0.6,-7.6,6.9
"	2017-02-22",108,1.7,-0.9,2.9
"	2017-02-23",108,-1.5,-4.2,2.1
"	2017-02-24",108,-0.8,-5.8,4.4
"	2017-02-25",108,2.6,-2.8,8.4
"	2017-02-26",108,3.6,-1.5,10.1
"	2017-02-27",108,3.7,-1.8,10.7
"	2017-02-28",108,5.6,-1.3,12.3
"	2017-03-01",108,5,2,11.4
"	2017-03-02",108,1.8,-1.1,6.6
"	2017-03-03",108,3.3,-3.1,10.4
"	2017-03-04",108,5.7,0.1,12.7
"	2017-03-05",108,5.2,1.2,10.4
"	2017-03-06",108,0.1,-2.8,4
"	2017-03-07",108,-1.3,-4,2.9
"	2017-03-08",108,-0.1,-5.3,5
"	2017-03-09",108,3.2,-2.7,10.7
"	2017-03-10",108,4.8,-1.2,12.2
"	2017-03-11",108,7.3,-0.2,16.7
"	2017-03-12",108,8.2,4.4,14
"	2017-03-13",108,6.9,1.5,12.2
"	2017-03-14",108,5.8,1,10.9
"	2017-03-15",108,6.3,0.4,13.3
"	2017-03-16",108,6.2,1,13.4
"	2017-03-17",108,7.7,1.2,15.7
"	2017-03-18",108,9.5,5.9,16.1
"	2017-03-19",108,10.9,3.2,18.9
"	2017-03-20",108,10.2,6,15.5
"	2017-03-21",108,7.4,4.3,12.6
"	2017-03-22",108,7.6,1.9,14.1
"	2017-03-23",108,9.1,5.1,15
"	2017-03-24",108,8.7,3.9,15.2
"	2017-03-25",108,8.1,5,12.6
"	2017-03-26",108,7.3,4.8,11.6
"	2017-03-27",108,6.1,4.4,10.9
"	2017-03-28",108,7.1,2.5,12.7
"	2017-03-29",108,8.8,4.7,14.4
"	2017-03-30",108,10.6,4.1,17.1
"	2017-03-31",108,8.6,4.9,12.4
"	2017-04-01",108,9,4.8,15.1
"	2017-04-02",108,9,3.1,15.8
"	2017-04-03",108,11.4,4.3,19.2
"	2017-04-04",108,14.1,6.7,21.8
"	2017-04-05",108,12,10.8,14.2
"	2017-04-06",108,10.4,9.4,12.4
"	2017-04-07",108,14.5,9,23.5
"	2017-04-08",108,13,8.6,19.9
