,"석탄,원유및천연가스",천연가스(LNG),원유및천연가스,액화석유가스,year,month
0,190.46,151.82,196.33,223.27,2013,1
1,194.75,154.08,201.51,212.75,2013,2
2,187.86,154.76,193.62,209.24,2013,3
3,182.29,151.69,187.19,190.31,2013,4
4,180.8,151.11,185.2,176.83,2013,5
5,180.65,152.35,185.27,177.29,2013,6
6,183.44,150.72,189.62,185.24,2013,7
7,189.3,157.01,196.52,191.71,2013,8
8,190.54,154.67,197.51,201.85,2013,9
9,187.24,153.28,194.1,195.45,2013,10
10,186.97,154.15,193.69,209.56,2013,11
11,190.32,158.1,197.61,272.78,2013,12
12,186.3,162.09,193.33,237.93,2014,1
13,187.83,163.62,195.14,227.34,2014,2
14,186.73,163.38,194.17,202.19,2014,3
15,186.47,164.1,194.75,189.45,2014,4
16,186.98,161.82,195.58,191.65,2014,5
17,189.72,161.08,198.71,195.7,2014,6
18,187.08,160.11,195.85,194.59,2014,7
19,181.2,158.61,189.4,185.22,2014,8
20,174.34,158.17,181.63,179.4,2014,9
21,162.07,158.64,167.57,175.86,2014,10
22,148.66,154.96,152.53,141.77,2014,11
23,125.93,151.1,127.14,131.3,2014,12
24,105.08,141.41,103.59,104.97,2015,1
25,113.96,128.15,114.53,109.05,2015,2
26,112.06,125.0,112.25,112.45,2015,3
27,110.46,102.78,110.83,109.02,2015,4
28,113.75,88.63,114.83,110.19,2015,5
29,110.76,87.76,111.43,99.09,2015,6
30,102.7,86.25,103.43,96.16,2015,7
31,92.19,87.67,92.4,89.72,2015,8
32,90.01,89.31,89.93,77.4,2015,9
33,90.18,90.72,90.38,84.98,2015,10
34,84.56,89.69,83.99,97.35,2015,11
35,74.3,82.62,72.41,109.61,2015,12
36,62.47,76.86,59.58,86.54,2016,1
37,64.26,74.39,61.64,70.57,2016,2
38,70.9,70.0,69.17,71.74,2016,3
39,73.46,63.23,72.38,78.76,2016,4
40,78.26,55.55,77.43,83.13,2016,5
41,80.41,54.36,79.9,81.74,2016,6
42,76.67,57.07,75.48,70.98,2016,7
43,78.96,61.45,78.29,67.36,2016,8
44,80.3,66.74,79.4,72.27,2016,9
45,91.75,71.84,88.69,83.44,2016,10
46,87.25,71.76,81.66,97.71,2016,11
47,98.61,71.41,92.87,94.09,2016,12
48,102.57,71.82,95.26,109.46,2017,1
49,104.86,75.8,97.34,130.77,2017,2
50,100.88,74.88,92.61,127.45,2017,3
51,103.22,80.26,95.66,108.29,2017,4
52,102.28,83.16,94.27,90.93,2017,5
53,96.78,85.66,89.03,90.93,2017,6
54,95.83,83.88,90.07,83.4,2017,7
55,98.84,83.81,93.75,103.47,2017,8
56,102.1,82.01,98.06,115.07,2017,9
57,103.88,78.61,99.73,135.5,2017,10
58,110.81,78.06,106.96,135.5,2017,11
59,113.19,80.24,108.67,135.92,2017,12
60,121.11,83.27,116.03,135.92,2018,1
61,117.94,87.76,112.15,120.72,2018,2
62,118.77,93.73,113.67,110.71,2018,3
63,126.23,97.29,122.51,110.57,2018,4
64,134.87,101.17,132.32,117.45,2018,5
65,134.72,101.01,131.13,130.96,2018,6
66,133.05,100.97,130.4,131.33,2018,7
67,132.79,105.19,130.57,137.18,2018,8
68,140.82,111.67,139.0,143.9,2018,9
69,144.15,113.75,142.63,153.17,2018,10
70,127.28,115.46,123.17,124.75,2018,11
71,116.86,115.23,111.28,100.99,2018,12
