연,월,가스수요산업지수
2007,01,89.78
2007,02,94.53
2007,03,89.71
2007,04,93.88
2007,05,87.46
2007,06,89.88
2007,07,86.10
2007,08,83.43
2007,09,88.23
2007,10,87.50
2007,11,88.13
2007,12,87.59
2008,01,85.64
2008,02,89.21
2008,03,92.00
2008,04,92.39
2008,05,90.56
2008,06,99.31
2008,07,100.73
2008,08,99.97
2008,09,110.02
2008,10,110.95
2008,11,98.38
2008,12,89.27
2009,01,88.12
2009,02,98.35
2009,03,103.08
2009,04,105.10
2009,05,99.32
2009,06,104.24
2009,07,104.73
2009,08,99.43
2009,09,106.53
2009,10,103.69
2009,11,103.98
2009,12,99.88
2010,01,100.87
2010,02,114.27
2010,03,111.12
2010,04,113.01
2010,05,110.97
2010,06,112.97
2010,07,106.99
2010,08,102.44
2010,09,108.73
2010,10,104.91
2010,11,109.13
2010,12,100.11
2011,01,98.22
2011,02,112.92
2011,03,110.57
2011,04,118.78
2011,05,119.20
2011,06,121.30
2011,07,118.02
2011,08,111.93
2011,09,120.37
2011,10,121.18
2011,11,122.43
2011,12,110.51
2012,01,112.09
2012,02,114.52
2012,03,121.94
2012,04,125.48
2012,05,127.29
2012,06,129.93
2012,07,133.41
2012,08,130.40
2012,09,138.61
2012,10,141.76
2012,11,135.56
2012,12,121.76
2013,01,122.03
2013,02,132.48
2013,03,133.29
2013,04,139.21
2013,05,132.67
2013,06,137.05
2013,07,133.95
2013,08,123.98
2013,09,135.03
2013,10,132.84
2013,11,131.06
2013,12,119.90
2014,01,118.16
2014,02,123.14
2014,03,124.35
2014,04,122.34
2014,05,121.92
2014,06,126.39
2014,07,128.41
2014,08,118.86
2014,09,122.40
2014,10,118.00
2014,11,114.14
2014,12,100.00
2015,01,95.47
2015,02,102.00
2015,03,101.65
2015,04,106.17
2015,05,105.46
2015,06,107.44
2015,07,106.16
2015,08,99.13
2015,09,104.30
2015,10,99.07
2015,11,99.50
2015,12,91.53
2016,01,86.77
2016,02,94.88
2016,03,98.49
2016,04,101.64
2016,05,98.56
2016,06,99.10
2016,07,96.93
2016,08,92.22
2016,09,99.19
2016,10,99.93
2016,11,98.08
2016,12,92.41
2017,01,92.35
2017,02,95.86
2017,03,100.21
2017,04,107.22
2017,05,101.32
2017,06,97.51
2017,07,93.61
2017,08,90.67
2017,09,99.56
2017,10,98.94
2017,11,100.39
2017,12,95.90
2018,01,94.88
2018,02,102.15
2018,03,104.06
2018,04,108.05
2018,05,107.67
2018,06,110.95
2018,07,107.47
2018,08,102.32
2018,09,111.14
2018,10,105.19
2018,11,106.09
2018,12,95.56
2019,01,96.48
2019,02,100.74
2019,03,107.68
2019,04,114.25
2019,05,110.59
2019,06,110.80
2019,07,100.56
2019,08,99.81
2019,09,100.32
2019,10,100.79
2019,11,101.45
2019,12,103.92
2020,01,103.35
2020,02,94.59
2020,03,68.53
2020,04,44.36
2020,05,44.26
2020,06,52.84
2020,07,63.62
2020,08,63.06
2020,09,67.32
2020,10,71.15
2020,11,72.13
2020,12,74.57
2021,01,77.35
2021,02,76.79
2021,03,77.32
2021,04,74.40
2021,05,85.70
2021,06,85.59
