"계정코드별","통화계약구분코드별","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월",
"총지수","원화기준","수입물가지수(기본분류)","2015=100","127.35","130.83","129.79","129.91","127.56","130.26","129.2","130.03","127.02","123.94","123.38","123.85","123.53","124.6","123.95","120.89","118.83","118.77","118.15","117.2","115.77","114.53","113.53","107.7","99.57","102.37","102.71","100.23","101.5","102.08","101.64","101.22","100.6","97.49","95.81","94.78","93.32","94.79","94.88","93.14","96.37","97.11","94.41","92.73","92.89","96.93","99.28","103.46","105.75","103.51","101.29","101.72","100.28","99.07","99.57","101.13","102.92","103.5","103.25","102.53","103.37","103.84","104.39","105.53","108.64","110.01","111.5","111.18","113.03","115.02","109.36","105.31",
"총지수","계약통화기준","수입물가지수(기본분류)","2015=100","130.96","132.31","129.82","127.94","127.14","126.69","126.78","128.44","128.9","127.86","127.98","129.36","128.15","128.34","127.66","127.56","127.7","128.39","127.66","126.15","124.19","119.97","115.92","109.41","102.71","104.85","104.25","103.84","104.8","103.67","100.63","97.28","96.05","95.91","94.31","91.7","87.99","87.99","89.99","90.99","92.3","92.9","92.26","92.86","93.41","96.31","96.1","99.06","100.95","101.96","100.58","101.02","100.13","98.36","98.44","100.01","101.74","102.52","104.62","105.61","108","107.05","108.26","109.95","112.68","112.58","111.29","111.22","113.09","114.22","108.93","105.36",
"총지수","달러기준","수입물가지수(기본분류)","2015=100","135.01","135.99","133","130.78","129.73","129.59","129.46","131.49","131.95","131.22","131.1","132.38","131.03","131.35","130.72","130.71","130.94","131.6","130.84","129.09","126.55","121.98","117.08","110.15","103.28","105.28","104.28","103.99","105.05","103.67","100.42","96.96","95.91","95.91","93.94","91.32","87.71","87.94","90.2","91.67","92.91","93.69","93.18","94.2","94.74","97.29","96.54","98.83","100.78","102.11","100.82","101.42","100.65","99.01","99.14","101","102.73","103.31","105.52","106.65","109.44","108.61","109.98","111.61","113.97","113.69","112.16","112.05","113.97","114.92","109.5","105.97",
"곡류","원화기준","수입물가지수(기본분류)","2015=100","97.02","98.97","99.66","103.09","102.05","102.54","102.55","100.27","95.89","86.48","91.44","90.93","91.62","92.18","92.16","89.88","89.88","90.99","91.05","91.53","93.85","97.38","100.58","102.92","97.94","97.22","98.84","96.7","96.26","98.1","101.43","104.61","105.11","101.87","102.21","99.7","102.2","103.61","98.36","94.99","93.69","93.54","92.23","89.62","88.45","89.87","92.78","93.91","94.13","90.94","90.98","90.82","88.98","89.35","89.7","89.06","89.13","89.13","93.59","92.64","91.01","92.11","91.45","91.1","90.31","91.68","95.89","96.42","96.37","97.24","97.06","95.85",
"곡류","계약통화기준","수입물가지수(기본분류)","2015=100","102.97","102.97","102.23","103.89","103.89","102.12","102.87","101.51","99.71","91.66","97.28","97.3","97.3","97.3","97.3","97.3","99.15","100.93","100.93","100.93","102.71","103.86","103.86","105.39","101.71","100.09","100.45","100.45","99.75","99.75","100.33","100.33","100.33","100.33","100.33","96.16","96.16","96.23","93.61","93.61","90.42","90.35","91.15","91.15","90.31","90.31","90.31","89.81","89.81","89.81","90.65","90.65","89.4","89.4","89.4","89.05","89.05","89.05","95.76","96.46","96.46","96.46","96.46","96.46","94.84","94.84","96.56","97.22","97.22","97.22","97.22","96.5",
"곡류","달러기준","수입물가지수(기본분류)","2015=100","102.97","102.97","102.23","103.89","103.89","102.12","102.87","101.51","99.71","91.66","97.28","97.3","97.3","97.3","97.3","97.3","99.15","100.93","100.93","100.93","102.71","103.86","103.86","105.39","101.71","100.09","100.45","100.45","99.75","99.75","100.33","100.33","100.33","100.33","100.33","96.16","96.16","96.23","93.61","93.61","90.42","90.35","91.15","91.15","90.31","90.31","90.31","89.81","89.81","89.81","90.65","90.65","89.4","89.4","89.4","89.05","89.05","89.05","95.76","96.46","96.46","96.46","96.46","96.46","94.84","94.84","96.56","97.22","97.22","97.22","97.22","96.5",
"곡물및식량작물","원화기준","수입물가지수(기본분류)","2015=100","134.17","135.66","134.42","132.94","132.03","131.92","124.18","122.34","118.68","114.91","113.64","112.36","113.72","117.06","121.17","118.24","115.09","111.81","109.34","105.69","104.78","108.94","111.67","112.74","104.8","102.95","102.2","99.05","95.34","99.35","100.62","101.15","101.75","98.33","97.8","96.65","99.39","99.37","94.8","93.21","97.31","99.93","95.01","92.41","92.18","93.2","95.8","96.51","98.21","96.09","94.18","91.4","90.42","90.53","95.11","92.84","93.07","93.13","91.41","90.02","89.95","93.52","97.11","97.28","98.02","98.07","99.15","98.66","97.55","98.52","98.45","97.38",
"곡물및식량작물","계약통화기준","수입물가지수(기본분류)","2015=100","142.28","141.03","137.78","133.87","134.29","131.28","124.45","123.73","123.3","121.68","120.79","120.12","120.67","123.44","127.82","127.88","126.84","123.91","121.11","116.44","114.57","116.08","115.2","115.33","108.73","105.89","103.78","102.79","98.7","100.92","99.43","96.91","97.03","96.75","95.91","93.14","93.43","92.22","90.13","91.77","93.85","96.45","93.81","93.91","94.02","93.57","93.17","92.22","93.62","94.83","93.76","91.16","90.78","90.51","94.71","92.76","92.93","92.98","93.45","93.67","95.26","97.87","102.36","102.93","102.89","101.39","99.77","99.42","98.34","98.44","98.56","97.99",
"곡물및식량작물","달러기준","수입물가지수(기본분류)","2015=100","142.28","141.03","137.78","133.87","134.29","131.28","124.45","123.73","123.3","121.68","120.79","120.12","120.67","123.44","127.82","127.88","126.84","123.91","121.11","116.44","114.57","116.08","115.2","115.33","108.73","105.89","103.78","102.79","98.7","100.92","99.43","96.91","97.03","96.75","95.91","93.14","93.43","92.22","90.13","91.77","93.85","96.45","93.81","93.91","94.02","93.57","93.17","92.22","93.62","94.83","93.76","91.16","90.78","90.51","94.71","92.76","92.93","92.98","93.45","93.67","95.26","97.87","102.36","102.93","102.89","101.39","99.77","99.42","98.34","98.44","98.56","97.99",
"과실","원화기준","수입물가지수(기본분류)","2015=100","88.61","87.74","93.29","96.58","100.6","97.21","97.09","94.29","88.79","88.13","91.74","90.74","91.07","95.79","98.03","101.83","99.89","98.82","97.4","94.84","94.46","96.93","98.9","97.93","98.83","101.13","101.88","99.77","97.65","97.88","101","103.59","103.1","97.01","99.4","98.78","102.47","100.37","101.8","97.82","99.7","99.03","96.96","95.95","96.71","96.32","104.49","104.42","104.28","96.52","96.26","99.02","97.19","98.65","98.11","99.78","97.23","96.44","104.5","103.84","103.8","106.18","102.79","112.5","108.63","107.66","103.23","105.09","103.88","103.49","104.77","102.55",
