날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2013-01-01",108,-4.7,-8.7,0
"	2013-01-02",108,-11.7,-15.1,-4.8
"	2013-01-03",108,-13.2,-16.4,-9.3
"	2013-01-04",108,-10.7,-14.8,-5.8
"	2013-01-05",108,-7,-12.1,-1.2
"	2013-01-06",108,-6.3,-9.4,-2
"	2013-01-07",108,-5.1,-8.8,0.1
"	2013-01-08",108,-4.6,-6.8,-0.7
"	2013-01-09",108,-9,-10.7,-6.4
"	2013-01-10",108,-8.3,-12.3,-3.6
"	2013-01-11",108,-3.2,-7.9,1.4
"	2013-01-12",108,0,-2.7,4.2
"	2013-01-13",108,-0.5,-3,3.3
"	2013-01-14",108,-2.1,-4.3,1.8
"	2013-01-15",108,-2.1,-5.5,2
"	2013-01-16",108,-2.6,-5.8,0.4
"	2013-01-17",108,-5.8,-8.2,-2.5
"	2013-01-18",108,-4.4,-9.2,0.2
"	2013-01-19",108,0.5,-2.5,4.6
"	2013-01-20",108,1.6,-2,4.1
"	2013-01-21",108,2.2,1.1,4
"	2013-01-22",108,3.8,2,6
"	2013-01-23",108,1.8,1,3.8
"	2013-01-24",108,-0.9,-6.7,2.4
"	2013-01-25",108,-9.1,-10.8,-6.5
"	2013-01-26",108,-9.2,-11.9,-5.1
"	2013-01-27",108,-7.3,-10.7,-3.9
"	2013-01-28",108,-3.5,-8.9,0.2
"	2013-01-29",108,2.2,-0.3,3.7
"	2013-01-30",108,5.4,3.5,8.5
"	2013-01-31",108,7.4,3.7,11.5
"	2013-02-01",108,7.3,3.7,9.3
"	2013-02-02",108,-1.1,-4.5,3.7
"	2013-02-03",108,-3.2,-5.8,-1.1
"	2013-02-04",108,-0.8,-3.3,2.5
"	2013-02-05",108,-0.6,-4,2.7
"	2013-02-06",108,-1.5,-3.1,0.2
"	2013-02-07",108,-11.1,-13.8,-2.6
"	2013-02-08",108,-11.5,-15.8,-6.1
"	2013-02-09",108,-7.2,-12.3,-2.6
"	2013-02-10",108,-4,-8.4,-0.5
"	2013-02-11",108,-5.8,-10.4,-0.9
"	2013-02-12",108,-3.8,-4.8,-1.9
"	2013-02-13",108,-1.3,-6.3,2.9
"	2013-02-14",108,1.1,-2.6,5.2
"	2013-02-15",108,-1.2,-5.2,1.5
"	2013-02-16",108,-2.6,-7,2.6
"	2013-02-17",108,2.3,-2.1,5.8
"	2013-02-18",108,0.5,-2.5,3.1
"	2013-02-19",108,-2.9,-7.1,0.6
"	2013-02-20",108,-4.8,-8.7,0
"	2013-02-21",108,-1.7,-5.3,2.5
"	2013-02-22",108,0.5,-3.1,4.3
"	2013-02-23",108,-0.9,-4.4,2.4
"	2013-02-24",108,1.4,-2.4,5.3
"	2013-02-25",108,3.3,-0.7,8.6
"	2013-02-26",108,4.8,2.5,7.5
"	2013-02-27",108,3.4,0.8,8.8
"	2013-02-28",108,6.7,-1.1,13.9
"	2013-03-01",108,0.8,-2.4,7.7
"	2013-03-02",108,-0.8,-4.4,3.1
"	2013-03-03",108,0.4,-3.5,4.8
"	2013-03-04",108,3.1,-0.7,8.9
"	2013-03-05",108,3.7,-0.7,9.1
"	2013-03-06",108,7.9,0.9,14.3
"	2013-03-07",108,8,4.3,11.7
"	2013-03-08",108,8.5,3.8,14.1
"	2013-03-09",108,13.2,6.2,23.8
"	2013-03-10",108,1.2,-1.5,7.9
"	2013-03-11",108,4.2,-2.6,12.1
"	2013-03-12",108,7.5,1.6,11.7
"	2013-03-13",108,5.2,1.8,8.4
"	2013-03-14",108,4.1,0.9,9.8
"	2013-03-15",108,4.6,0,10.5
"	2013-03-16",108,6.3,1.6,12.7
"	2013-03-17",108,8.2,3.4,15.9
"	2013-03-18",108,8.3,5.3,14.2
"	2013-03-19",108,8,5.2,11.4
"	2013-03-20",108,2.8,-2.5,8.5
"	2013-03-21",108,1.5,-4,7.2
"	2013-03-22",108,3.4,0.9,6.9
"	2013-03-23",108,5.4,-1.2,12.1
"	2013-03-24",108,5.1,1.8,10.2
"	2013-03-25",108,2.8,-0.7,7.8
"	2013-03-26",108,4.4,-0.9,10.4
"	2013-03-27",108,7.5,1.4,14.9
"	2013-03-28",108,7.3,4.4,12
"	2013-03-29",108,5.4,0.6,10.4
"	2013-03-30",108,4.9,2.3,10.2
"	2013-03-31",108,6.3,1,13.2
"	2013-04-01",108,9.2,3.3,13.4
"	2013-04-02",108,7.2,5.8,9.5
"	2013-04-03",108,7.9,3.9,14.1
"	2013-04-04",108,12.6,5.6,19.8
"	2013-04-05",108,14.6,10.1,19.9
"	2013-04-06",108,7.5,2.5,13
