역명,평일(일평균),토요일,일요일
가락시장,35321,25247,18615
가산디지털단지,88290,59852,44537
강남,85671,63020,39356
강남구청,61607,41595,29071
강동,4066,3012,2111
건대입구,108287,95662,71150
고속터미널,226153,203387,146078
공덕,86331,62428,39947
교대,166548,132334,85849
군자,101459,76233,56479
김포공항,39536,29526,20799
까치산,37037,27058,18503
노원,41550,33068,24654
당산,76478,61884,44766
대림,82636,63408,47235
도곡,28181,19971,13529
도봉산,43721,37364,26889
동대문,52846,52022,32999
동대문역사문화공원,222643,181624,125562
동묘앞,45015,42681,30248
동작,46478,37209,25887
디지털미디어시티,37860,29346,21614
모란,19984,15411,12625
보문,17676,11930,8782
복정,71081,49873,40543
부평구청,50758,37542,24600
불광,24952,19838,14573
사당,174523,148014,101134
삼각지,50614,45049,30653
상봉,44273,41169,29945
서울역,144155,134298,89399
석계,24428,18420,13401
석촌,34094,25722,18770
선릉,97677,65091,44153
성수,25437,18126,12510
성신여대입구,28339,22560,16622
수서,16668,11919,9844
시청,51829,48426,30668
신길,48561,40447,22087
신당,43671,35261,27158
신도림,282266,257806,165568
신설동,39710,32567,22559
약수,56409,46823,33807
양재,66625,56112,33317
여의도,56783,44919,27027
연신내,34784,28088,19516
영등포구청,82583,60248,39543
오금,28483,19498,15119
옥수,29076,25241,16445
온수,60264,47061,31646
올림픽공원,16884,15287,13277
왕십리,165224,126844,90094
을지로3가,69748,60316,40755
을지로4가,17160,13171,7185
이촌,28828,27325,19928
잠실,109204,77768,54219
종로3가,158226,152405,88481
종합운동장,32417,28435,24597
창동,75683,63998,44247
천호,78542,55566,39987
청구,32534,24928,17380
청량리,24704,27564,19216
총신대입구(이수),73854,63144,45257
충무로,149221,126991,81531
충정로,16299,10337,6124
태릉입구,51470,37309,27604
합정,101094,80921,55210
홍대입구,74718,76402,53700
효창공원앞,7143,5921,4159
