"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20221203","우이신설선","4.19민주묘지","2245","2108","20221206"
"20221203","경원선","가능","5455","5153","20221206"
"20221203","3호선","가락시장","7238","6982","20221206"
"20221203","8호선","가락시장","6416","6878","20221206"
"20221203","7호선","가산디지털단지","16142","14452","20221206"
"20221203","경부선","가산디지털단지","7004","9401","20221206"
"20221203","9호선","가양","15565","14839","20221206"
"20221203","우이신설선","가오리","3074","2887","20221206"
"20221203","경의선","가좌","4303","4018","20221206"
"20221203","분당선","가천대","6051","6435","20221206"
"20221203","경춘선","가평","1675","1841","20221206"
"20221203","경인선","간석","4702","4504","20221206"
"20221203","경춘선","갈매","2157","1846","20221206"
"20221203","2호선","강남","60929","60698","20221206"
"20221203","분당선","강남구청","5423","6637","20221206"
"20221203","7호선","강남구청","10938","12416","20221206"
"20221203","5호선","강동","14402","13819","20221206"
"20221203","8호선","강동구청","6697","6541","20221206"
"20221203","경의선","강매","2181","1966","20221206"
"20221203","2호선","강변(동서울터미널)","31431","30966","20221206"
"20221203","5호선","강일","3555","3172","20221206"
"20221203","경춘선","강촌","387","386","20221206"
"20221203","5호선","개롱","4318","4621","20221206"
"20221203","경인선","개봉","17614","16960","20221206"
"20221203","분당선","개포동","2853","2794","20221206"
"20221203","9호선","개화","1444","1142","20221206"
"20221203","5호선","개화산","3896","3809","20221206"
"20221203","5호선","거여","6883","6384","20221206"
"20221203","2호선","건대입구","35093","38638","20221206"
"20221203","7호선","건대입구","12239","12617","20221206"
"20221203","공항철도 1호선","검암","4781","4731","20221206"
"20221203","경강선","경기광주","6003","5538","20221206"
"20221203","과천선","경마공원","11289","11363","20221206"
"20221203","3호선","경복궁(정부서울청사)","19148","20008","20221206"
"20221203","3호선","경찰병원","4485","4390","20221206"
"20221203","경의선","계양","1","0","20221206"
"20221203","공항철도 1호선","계양","8476","7599","20221206"
"20221203","5호선","고덕","6873","6458","20221206"
"20221203","6호선","고려대(종암)","5854","5616","20221206"
"20221203","수인선","고색","2834","2763","20221206"
"20221203","3호선","고속터미널","58489","57572","20221206"
"20221203","7호선","고속터미널","18574","13822","20221206"
"20221203","9호선","고속터미널","15557","23330","20221206"
"20221203","안산선","고잔","7563","7759","20221206"
"20221203","경의선","곡산","411","405","20221206"
"20221203","경강선","곤지암","1924","1974","20221206"
"20221203","6호선","공덕","11513","10853","20221206"
"20221203","공항철도 1호선","공덕","1991","3252","20221206"
"20221203","5호선","공덕","8598","9155","20221206"
"20221203","경의선","공덕","3545","2500","20221206"
"20221203","7호선","공릉(서울과학기술대)","9180","8967","20221206"
"20221203","9호선","공항시장","2279","2281","20221206"
"20221203","공항철도 1호선","공항화물청사","1306","1305","20221206"
"20221203","과천선","과천","5073","4776","20221206"
"20221203","경부선","관악","6364","6171","20221206"
"20221203","신림선","관악산(서울대)","2009","2137","20221206"
"20221203","5호선","광나루(장신대)","11157","10441","20221206"
"20221203","경부선","광명","3407","2957","20221206"
"20221203","7호선","광명사거리","16934","17228","20221206"
"20221203","경원선","광운대","5739","5673","20221206"
"20221203","5호선","광화문(세종문화회관)","19126","19169","20221206"
"20221203","6호선","광흥창(서강)","5447","5115","20221206"
"20221203","2호선","교대(법원.검찰청)","18801","22002","20221206"
"20221203","3호선","교대(법원.검찰청)","8568","5122","20221206"
"20221203","경부선","구로","14306","15211","20221206"
"20221203","2호선","구로디지털단지","37591","37204","20221206"
"20221203","분당선","구룡","1636","1452","20221206"
"20221203","중앙선","구리","10900","11105","20221206"
"20221203","9호선","구반포","1336","1406","20221206"
"20221203","6호선","구산","5828","4219","20221206"
"20221203","분당선","구성","3557","3674","20221206"
"20221203","2호선","구의(광진구청)","17815","17032","20221206"
"20221203","경인선","구일","9337","9746","20221206"
"20221203","3호선","구파발","15574","15756","20221206"
"20221203","중앙선","국수","617","634","20221206"
"20221203","9호선","국회의사당","8225","7633","20221206"
"20221203","5호선","군자(능동)","9020","10103","20221206"
"20221203","7호선","군자(능동)","11723","8752","20221206"
"20221203","경부선","군포","4319","3953","20221206"
"20221203","경춘선","굴봉산","79","113","20221206"
"20221203","5호선","굽은다리(강동구민회관앞)","7493","7008","20221206"
"20221203","경춘선","금곡","1054","976","20221206"
"20221203","경의선","금릉","4275","4029","20221206"
"20221203","경부선","금정","21270","21132","20221206"
"20221203","경부선","금천구청","8942","8875","20221206"
"20221203","경의선","금촌","6084","5822","20221206"
"20221203","3호선","금호","6125","5330","20221206"
"20221203","분당선","기흥","7347","6982","20221206"
"20221203","5호선","길동","6281","6434","20221206"
"20221203","4호선","길음","16465","15442","20221206"
"20221203","경춘선","김유정","337","389","20221206"
"20221203","5호선","김포공항","7418","7554","20221206"
"20221203","9호선","김포공항","7509","10688","20221206"
"20221203","공항철도 1호선","김포공항","10227","5020","20221206"
"20221203","5호선","까치산","22247","20734","20221206"
"20221203","2호선","낙성대(강감찬)","22384","20761","20221206"
"20221203","7호선","남구로","8402","8673","20221206"
"20221203","수인선","남동인더스파크","937","912","20221206"
"20221203","3호선","남부터미널(예술의전당)","23859","23470","20221206"
"20221203","7호선","남성","8232","7592","20221206"
"20221203","경부선","남영","7498","7596","20221206"
"20221203","8호선","남위례","4529","4554","20221206"
"20221203","경춘선","남춘천","3002","3132","20221206"
"20221203","4호선","남태령","1325","806","20221206"
"20221203","8호선","남한산성입구(성남법원.검찰청)","9445","8298","20221206"
"20221203","7호선","내방","8515","8478","20221206"
"20221203","9호선","노들","3517","2903","20221206"
"20221203","9호선","노량진","23720","23504","20221206"
"20221203","경부선","노량진","10362","10364","20221206"
"20221203","7호선","노원","16202","16842","20221206"
"20221203","4호선","노원","16410","18597","20221206"
"20221203","3호선","녹번","11465","9914","20221206"
"20221203","6호선","녹사평(용산구청)","4544","4737","20221206"
"20221203","경원선","녹양","3761","3500","20221206"
"20221203","경원선","녹천","3280","2752","20221206"
"20221203","7호선","논현","10535","11260","20221206"
"20221203","경의선","능곡","2843","2754","20221206"
"20221203","8호선","단대오거리","8089","7548","20221206"
"20221203","수인선","달월","82","73","20221206"
"20221203","5호선","답십리","11249","10148","20221206"
"20221203","4호선","당고개","7446","7036","20221206"
"20221203","신림선","당곡","3015","2739","20221206"
"20221203","2호선","당산","13988","15414","20221206"
"20221203","9호선","당산","15101","13943","20221206"
"20221203","경부선","당정","4366","4069","20221206"
"20221203","일산선","대곡","1396","1198","20221206"
"20221203","과천선","대공원","3238","3477","20221206"
"20221203","7호선","대림(구로구청)","7722","8135","20221206"
"20221203","2호선","대림(구로구청)","18608","19631","20221206"
"20221203","분당선","대모산입구","3256","2995","20221206"
"20221203","신림선","대방","2433","1499","20221206"
"20221203","경부선","대방","7152","8368","20221206"
"20221203","경춘선","대성리","669","611","20221206"
"20221203","안산선","대야미","4009","3601","20221206"
"20221203","3호선","대청","6479","6124","20221206"
"20221203","3호선","대치","8953","8354","20221206"
"20221203","일산선","대화","15652","13627","20221206"
"20221203","6호선","대흥(서강대앞)","6273","6262","20221206"
"20221203","경원선","덕계","2700","2414","20221206"
"20221203","중앙선","덕소","4538","4640","20221206"
"20221203","경원선","덕정","4906","4471","20221206"
"20221203","분당선","도곡","5303","4926","20221206"
"20221203","3호선","도곡","3685","4015","20221206"
"20221203","중앙선","도농","7946","7379","20221206"
"20221203","2호선","도림천","857","880","20221206"
"20221203","경원선","도봉","4465","4202","20221206"
"20221203","7호선","도봉산","6088","8258","20221206"
"20221203","경원선","도봉산","7646","5047","20221206"
"20221203","중앙선","도심","1599","1323","20221206"
"20221203","경인선","도원","2247","2244","20221206"
"20221203","경인선","도화","3165","2892","20221206"
"20221203","3호선","독립문","5980","6218","20221206"
"20221203","6호선","독바위","1953","2189","20221206"
"20221203","경부선","독산","9643","9266","20221206"
"20221203","6호선","돌곶이","6965","6172","20221206"
"20221203","1호선","동대문","10753","10472","20221206"
"20221203","4호선","동대문","14098","14863","20221206"
"20221203","4호선","동대문역사문화공원(DDP)","14525","12332","20221206"
"20221203","2호선","동대문역사문화공원(DDP)","11889","13509","20221206"
"20221203","5호선","동대문역사문화공원(DDP)","1406","1746","20221206"
"20221203","3호선","동대입구","9005","10161","20221206"
"20221203","경원선","동두천","1663","1850","20221206"
"20221203","경원선","동두천중앙","2649","2593","20221206"
"20221203","6호선","동묘앞","7910","7605","20221206"
"20221203","1호선","동묘앞","10814","11252","20221206"
"20221203","경인선","동암","13881","13972","20221206"
"20221203","경인선","동인천","11907","11624","20221206"
"20221203","9호선","동작(현충원)","1366","1139","20221206"
"20221203","4호선","동작(현충원)","1039","1186","20221206"
"20221203","경부선","두정","6452","6442","20221206"
"20221203","5호선","둔촌동","6810","6975","20221206"
"20221203","9호선2~3단계","둔촌오륜","694","680","20221206"
"20221203","9호선","등촌","7560","7051","20221206"
"20221203","공항철도 1호선","디지털미디어시티","7106","6538","20221206"
"20221203","경의선","디지털미디어시티","2250","1840","20221206"
"20221203","6호선","디지털미디어시티","7973","8239","20221206"
"20221203","2호선","뚝섬","15682","15723","20221206"
"20221203","7호선","뚝섬유원지","6151","5837","20221206"
"20221203","5호선","마곡","6033","6091","20221206"
"20221203","공항철도 1호선","마곡나루(서울식물원)","3730","4179","20221206"
"20221203","9호선","마곡나루(서울식물원)","8776","8373","20221206"
"20221203","일산선","마두","5483","5534","20221206"
"20221203","7호선","마들","9494","8685","20221206"
"20221203","경춘선","마석","3540","3224","20221206"
"20221203","5호선","마장","4422","4248","20221206"
"20221203","5호선","마천","4990","5105","20221206"
"20221203","5호선","마포","9292","9422","20221206"
"20221203","6호선","마포구청","10035","8641","20221206"
"20221203","중앙선","망우","6567","6502","20221206"
"20221203","6호선","망원","13310","14342","20221206"
"20221203","경원선","망월사","6136","6068","20221206"
"20221203","분당선","망포","10231","9523","20221206"
"20221203","분당선","매교","3156","3062","20221206"
"20221203","3호선","매봉","6511","6293","20221206"
"20221203","분당선","매탄권선","3936","3624","20221206"
"20221203","7호선","먹골","8108","7690","20221206"
"20221203","7호선","면목","11270","10782","20221206"
"20221203","4호선","명동","28509","32899","20221206"
"20221203","5호선","명일","6438","6119","20221206"
"20221203","경부선","명학","4800","4604","20221206"
"20221203","분당선","모란","16432","16825","20221206"
"20221203","8호선","모란","3870","3243","20221206"
"20221203","5호선","목동","11727","11668","20221206"
"20221203","8호선","몽촌토성(평화의문)","4875","4946","20221206"
"20221203","3호선","무악재","3198","3141","20221206"
"20221203","2호선","문래","14235","15228","20221206"
"20221203","경의선","문산","4977","4564","20221206"
"20221203","8호선","문정","9644","9762","20221206"
"20221203","분당선","미금","10928","11482","20221206"
"20221203","5호선","미사","12962","12876","20221206"
"20221203","4호선","미아(서울사이버대학)","12026","11109","20221206"
"20221203","4호선","미아사거리","23297","22389","20221206"
"20221203","안산선","반월","3630","3390","20221206"
"20221203","7호선","반포","4940","4759","20221206"
"20221203","5호선","발산","16027","17517","20221206"
"20221203","2호선","방배","12224","12701","20221206"
"20221203","5호선","방이","5705","5562","20221206"
"20221203","경원선","방학","7676","7432","20221206"
"20221203","5호선","방화","4933","4658","20221206"
"20221203","장항선","배방","1086","1051","20221206"
"20221203","경의선","백마","4730","4482","20221206"
"20221203","일산선","백석","8262","8292","20221206"
"20221203","경춘선","백양리","117","89","20221206"
"20221203","경인선","백운","5580","5598","20221206"
"20221203","6호선","버티고개","1515","1539","20221206"
"20221203","과천선","범계","22475","22366","20221206"
"20221203","경춘선","별내","2200","2020","20221206"
"20221203","경부선","병점","14130","13579","20221206"
"20221203","7호선","보라매","5723","5786","20221206"
"20221203","신림선","보라매","2441","2095","20221206"
"20221203","신림선","보라매공원","1183","1208","20221206"
"20221203","신림선","보라매병원","2829","2891","20221206"
"20221203","6호선","보문","5457","4805","20221206"
"20221203","우이신설선","보문","1256","1195","20221206"
"20221203","경원선","보산","2103","2025","20221206"
"20221203","분당선","보정","1715","1595","20221206"
"20221203","분당선","복정","1","0","20221206"
"20221203","8호선","복정","6407","5227","20221206"
"20221203","장항선","봉명","779","769","20221206"
"20221203","9호선2~3단계","봉은사","16408","17682","20221206"
"20221203","2호선","봉천","18344","16595","20221206"
"20221203","6호선","봉화산(서울의료원)","5686","5469","20221206"
"20221203","경인선","부개","6727","6306","20221206"
"20221203","경강선","부발","2160","1950","20221206"
"20221203","경인선","부천","29907","30866","20221206"
"20221203","경인선","부평","29561","32473","20221206"
"20221203","우이신설선","북한산보국문","5190","4355","20221206"
"20221203","우이신설선","북한산우이","2979","2921","20221206"
"20221203","6호선","불광","3905","3467","20221206"
"20221203","3호선","불광","13534","15110","20221206"
"20221203","7호선","사가정","12991","12307","20221206"
"20221203","2호선","사당","38646","43386","20221206"
"20221203","4호선","사당","26159","23896","20221206"
"20221203","경춘선","사릉","1593","1604","20221206"
"20221203","수인선","사리","3813","3196","20221206"
"20221203","9호선","사평","2574","2424","20221206"
"20221203","안산선","산본","13672","14647","20221206"
"20221203","8호선","산성","4142","4054","20221206"
"20221203","6호선","삼각지","6721","5271","20221206"
"20221203","4호선","삼각지","5011","6471","20221206"
"20221203","경강선","삼동","1614","1439","20221206"
"20221203","2호선","삼성(무역센터)","39530","39275","20221206"
"20221203","9호선2~3단계","삼성중앙","3804","4131","20221206"
"20221203","일산선","삼송","15247","14528","20221206"
"20221203","우이신설선","삼양","1439","1496","20221206"
"20221203","우이신설선","삼양사거리","1867","1865","20221206"
"20221203","9호선2~3단계","삼전","5480","4954","20221206"
"20221203","분당선","상갈","4078","4020","20221206"
"20221203","4호선","상계","14641","13467","20221206"
"20221203","7호선","상도","8789","8039","20221206"
"20221203","안산선","상록수","13464","13196","20221206"
"20221203","7호선","상봉(시외버스터미널)","14123","13559","20221206"
"20221203","중앙선","상봉(시외버스터미널)","4754","4755","20221206"
"20221203","6호선","상수","9239","11721","20221206"
"20221203","2호선","상왕십리","10337","9700","20221206"
"20221203","6호선","상월곡(한국과학기술연구원)","4423","3779","20221206"
"20221203","5호선","상일동","9584","9079","20221206"
"20221203","경춘선","상천","226","231","20221206"
"20221203","6호선","새절(신사)","9032","8464","20221206"
"20221203","신림선","샛강","909","1233","20221206"
"20221203","9호선","샛강","3169","3053","20221206"
"20221203","경의선","서강대","1823","1794","20221206"
"20221203","5호선","서대문","8604","8313","20221206"
"20221203","경부선","서동탄","1018","1068","20221206"
"20221203","경원선","서빙고","1496","1468","20221206"
"20221203","신림선","서울대벤처타운","6406","5753","20221206"
"20221203","2호선","서울대입구(관악구청)","38207","36856","20221206"
"20221203","분당선","서울숲","8032","8445","20221206"
"20221203","1호선","서울역","43273","43138","20221206"
"20221203","경부선","서울역","10349","2770","20221206"
"20221203","4호선","서울역","7668","18644","20221206"
"20221203","경의선","서울역","1629","1659","20221206"
"20221203","공항철도 1호선","서울역","11657","11016","20221206"
"20221203","신림선","서울지방병무청","1869","2095","20221206"
"20221203","신림선","서원","2404","1907","20221206"
"20221203","경부선","서정리","8707","6549","20221206"
"20221203","2호선","서초","13921","11955","20221206"
"20221203","분당선","서현","19822","19835","20221206"
"20221203","경원선","석계","6985","7605","20221206"
"20221203","6호선","석계","9194","9049","20221206"
"20221203","경부선","석수","7060","6626","20221206"
"20221203","8호선","석촌","6092","7410","20221206"
"20221203","9호선2~3단계","석촌","7821","6486","20221206"
"20221203","9호선2~3단계","석촌고분","4915","4642","20221206"
"20221203","분당선","선릉","5630","8674","20221206"
"20221203","2호선","선릉","26869","23492","20221206"
"20221203","과천선","선바위","5882","5012","20221206"
"20221203","9호선","선유도","4230","3868","20221206"
"20221203","분당선","선정릉","3599","3567","20221206"
"20221203","9호선2~3단계","선정릉","5141","5850","20221206"
"20221203","경부선","성균관대","11353","11310","20221206"
"20221203","2호선","성수","24434","27450","20221206"
"20221203","4호선","성신여대입구(돈암)","17378","16545","20221206"
"20221203","우이신설선","성신여대입구(돈암)","2779","3292","20221206"
"20221203","경부선","성환","3413","3124","20221206"
"20221203","경부선","세류","2764","2812","20221206"
"20221203","경부선","세마","2541","2329","20221206"
"20221203","경강선","세종대왕릉","364","375","20221206"
"20221203","수인선","소래포구","4856","4951","20221206"
"20221203","경인선","소사","7820","7546","20221206"
"20221203","경원선","소요산","2755","2389","20221206"
"20221203","우이신설선","솔밭공원","1952","1788","20221206"
"20221203","우이신설선","솔샘","4107","3644","20221206"
"20221203","경인선","송내","19886","19541","20221206"
"20221203","수인선","송도","2031","1945","20221206"
"20221203","5호선","송정","5268","5014","20221206"
"20221203","경부선","송탄","5477","4620","20221206"
"20221203","8호선","송파","6720","6375","20221206"
"20221203","9호선2~3단계","송파나루","4726","5213","20221206"
"20221203","분당선","수내","9288","8550","20221206"
"20221203","7호선","수락산","10488","10039","20221206"
"20221203","안산선","수리산","2907","2436","20221206"
"20221203","경의선","수색","1539","1554","20221206"
"20221203","분당선","수서","11438","12080","20221206"
"20221203","3호선","수서","16216","15857","20221206"
"20221203","경부선","수원","41484","44568","20221206"
"20221203","분당선","수원","8018","6711","20221206"
"20221203","분당선","수원시청","12664","14241","20221206"
"20221203","4호선","수유(강북구청)","28221","27919","20221206"
"20221203","8호선","수진","4444","3977","20221206"
"20221203","4호선","숙대입구(갈월)","11667","11086","20221206"
"20221203","7호선","숭실대입구(살피재)","9606","9106","20221206"
"20221203","수인선","숭의","2808","2589","20221206"
"20221203","1호선","시청","18774","18675","20221206"
"20221203","2호선","시청","14094","10985","20221206"
"20221203","분당선","신갈","3067","3019","20221206"
"20221203","5호선","신금호","4378","4555","20221206"
"20221203","5호선","신길","2957","3014","20221206"
"20221203","경부선","신길","6464","5355","20221206"
"20221203","안산선","신길온천","1605","1542","20221206"
"20221203","6호선","신내","1","0","20221206"
"20221203","경춘선","신내","1246","1194","20221206"
"20221203","9호선","신논현","27310","27581","20221206"
"20221203","2호선","신답","1147","1112","20221206"
"20221203","6호선","신당","6824","6264","20221206"
"20221203","2호선","신당","11419","12228","20221206"
"20221203","2호선","신대방","20750","19527","20221206"
"20221203","7호선","신대방삼거리","11027","10201","20221206"
"20221203","2호선","신도림","45718","47044","20221206"
"20221203","경부선","신도림","3173","3297","20221206"
"20221203","경강선","신둔도예촌","1452","1345","20221206"
"20221203","2호선","신림","49644","47198","20221206"
"20221203","신림선","신림","1256","1650","20221206"
"20221203","9호선","신목동","2648","2190","20221206"
"20221203","9호선","신반포","3363","3347","20221206"
"20221203","9호선","신방화","4939","4807","20221206"
"20221203","3호선","신사","24948","26438","20221206"
"20221203","우이신설선","신설동","1485","1457","20221206"
"20221203","1호선","신설동","10474","9767","20221206"
"20221203","2호선","신설동","3426","3385","20221206"
"20221203","4호선","신용산","13833","14690","20221206"
"20221203","중앙선","신원","166","148","20221206"
